track,link_id,name,meta
Movie,1,Toy Story (1995),Adventure
Movie,2,Jumanji (1995),Adventure
Movie,3,Grumpier Old Men (1995),Comedy
Movie,4,Waiting to Exhale (1995),Comedy
Movie,5,Father of the Bride Part II (1995),Comedy
Movie,6,Heat (1995),Action
Movie,7,Sabrina (1995),Comedy
Movie,8,Tom and Huck (1995),Adventure
Movie,9,Sudden Death (1995),Action
Movie,10,GoldenEye (1995),Action
Movie,11,"American President, The (1995)",Comedy
Movie,12,Dracula: Dead and Loving It (1995),Comedy
Movie,13,Balto (1995),Adventure
Movie,14,Nixon (1995),Drama
Movie,15,Cutthroat Island (1995),Action
Movie,16,Casino (1995),Crime
Movie,17,Sense and Sensibility (1995),Drama
Movie,18,Four Rooms (1995),Comedy
Movie,19,Ace Ventura: When Nature Calls (1995),Comedy
Movie,20,Money Train (1995),Action
Movie,21,Get Shorty (1995),Comedy
Movie,22,Copycat (1995),Crime
Movie,23,Assassins (1995),Action
Movie,24,Powder (1995),Drama
Movie,25,Leaving Las Vegas (1995),Drama
Movie,26,Othello (1995),Drama
Movie,27,Now and Then (1995),Children
Movie,28,Persuasion (1995),Drama
Movie,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure
Movie,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime
Movie,31,Dangerous Minds (1995),Drama
Movie,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery
Movie,33,Wings of Courage (1995),Adventure
Movie,34,Babe (1995),Children
Movie,35,Carrington (1995),Drama
Movie,36,Dead Man Walking (1995),Crime
Movie,37,Across the Sea of Time (1995),Documentary
Movie,38,It Takes Two (1995),Children
Movie,39,Clueless (1995),Comedy
Movie,40,"Cry, the Beloved Country (1995)",Drama
Movie,41,Richard III (1995),Drama
Movie,42,Dead Presidents (1995),Action
Movie,43,Restoration (1995),Drama
Movie,44,Mortal Kombat (1995),Action
Movie,45,To Die For (1995),Comedy
Movie,46,How to Make an American Quilt (1995),Drama
Movie,47,Seven (a.k.a. Se7en) (1995),Mystery
Movie,48,Pocahontas (1995),Animation
Movie,49,When Night Is Falling (1995),Drama
Movie,50,"Usual Suspects, The (1995)",Crime
Movie,51,Guardian Angel (1994),Action
