track,link_id,name
Movies,1,Toy Story (1995)
Movies,2,Jumanji (1995)
Movies,3,Grumpier Old Men (1995)
Movies,4,Waiting to Exhale (1995)
Movies,5,Father of the Bride Part II (1995)
Movies,6,Heat (1995)
Movies,7,Sabrina (1995)
Movies,8,Tom and Huck (1995)
Movies,9,Sudden Death (1995)
Movies,10,GoldenEye (1995)
Movies,11,"American President, The (1995)"
Movies,12,Dracula: Dead and Loving It (1995)
Movies,13,Balto (1995)
Movies,14,Nixon (1995)
Movies,15,Cutthroat Island (1995)
Movies,16,Casino (1995)
Movies,17,Sense and Sensibility (1995)
Movies,18,Four Rooms (1995)
Movies,19,Ace Ventura: When Nature Calls (1995)
Movies,20,Money Train (1995)
Movies,21,Get Shorty (1995)
Movies,22,Copycat (1995)
Movies,23,Assassins (1995)
Movies,24,Powder (1995)
Movies,25,Leaving Las Vegas (1995)
Movies,26,Othello (1995)
Movies,27,Now and Then (1995)
Movies,28,Persuasion (1995)
Movies,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
Movies,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
Movies,31,Dangerous Minds (1995)
Movies,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Movies,33,Wings of Courage (1995)
Movies,34,Babe (1995)
Movies,35,Carrington (1995)
Movies,36,Dead Man Walking (1995)
Movies,37,Across the Sea of Time (1995)
Movies,38,It Takes Two (1995)
Movies,39,Clueless (1995)
Movies,40,"Cry, the Beloved Country (1995)"
Movies,41,Richard III (1995)
Movies,42,Dead Presidents (1995)
Movies,43,Restoration (1995)
Movies,44,Mortal Kombat (1995)
Movies,45,To Die For (1995)
Movies,46,How to Make an American Quilt (1995)
Movies,47,Seven (a.k.a. Se7en) (1995)
Movies,48,Pocahontas (1995)
Movies,49,When Night Is Falling (1995)
Movies,50,"Usual Suspects, The (1995)"
Movies,51,Guardian Angel (1994)
Movies,52,Mighty Aphrodite (1995)
Movies,53,Lamerica (1994)
Movies,54,"Big Green, The (1995)"
Movies,55,Georgia (1995)
Movies,56,Kids of the Round Table (1995)
Movies,57,Home for the Holidays (1995)
Movies,58,"Postman, The (Postino, Il) (1994)"
Movies,59,"Confessional, The (Confessionnal, Le) (1995)"
Movies,60,"Indian in the Cupboard, The (1995)"
Movies,61,Eye for an Eye (1996)
Movies,62,Mr. Holland's Opus (1995)
Movies,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
Movies,64,Two if by Sea (1996)
Movies,65,Bio-Dome (1996)
Movies,66,Lawnmower Man 2: Beyond Cyberspace (1996)
Movies,67,Two Bits (1995)
Movies,68,French Twist (Gazon maudit) (1995)
Movies,69,Friday (1995)
Movies,70,From Dusk Till Dawn (1996)
Movies,71,Fair Game (1995)
Movies,72,Kicking and Screaming (1995)
Movies,73,"Misérables, Les (1995)"
Movies,74,Bed of Roses (1996)
Movies,75,Big Bully (1996)
Movies,76,Screamers (1995)
Movies,77,Nico Icon (1995)
Movies,78,"Crossing Guard, The (1995)"
Movies,79,"Juror, The (1996)"
Movies,80,"White Balloon, The (Badkonake sefid) (1995)"
Movies,81,Things to Do in Denver When You're Dead (1995)
Movies,82,Antonia's Line (Antonia) (1995)
Movies,83,Once Upon a Time... When We Were Colored (1995)
Movies,84,Last Summer in the Hamptons (1995)
Movies,85,Angels and Insects (1995)
