track,link_id,name,meta
SoccerPlayer,0,Jude Bellingham,€180m
SoccerPlayer,1,Erling Haaland,€180m
SoccerPlayer,2,Kylian Mbappé,€180m
SoccerPlayer,3,Vinicius Junior,€150m
SoccerPlayer,4,Bukayo Saka,€130m
SoccerPlayer,5,Phil Foden,€130m
SoccerPlayer,6,Florian Wirtz,€110m
SoccerPlayer,7,Jamal Musiala,€110m
SoccerPlayer,8,Lautaro Martínez,€110m
SoccerPlayer,9,Victor Osimhen,€110m
SoccerPlayer,10,Declan Rice,€110m
SoccerPlayer,11,Rodri,€110m
SoccerPlayer,12,Harry Kane,€110m
SoccerPlayer,13,Rodrygo,€100m
SoccerPlayer,14,Federico Valverde,€100m
SoccerPlayer,15,Martin Ødegaard,€95m
SoccerPlayer,16,Gavi,€90m
SoccerPlayer,17,Eduardo Camavinga,€90m
SoccerPlayer,18,Julián Álvarez,€90m
SoccerPlayer,19,Aurélien Tchouaméni,€90m
SoccerPlayer,20,Rafael Leão,€90m
SoccerPlayer,21,Bruno Guimarães,€85m
SoccerPlayer,22,Moisés Caicedo,€80m
SoccerPlayer,23,Pedri,€80m
SoccerPlayer,24,Gabriel Martinelli,€80m
SoccerPlayer,25,Enzo Fernández,€80m
SoccerPlayer,26,Xavi Simons,€80m
SoccerPlayer,27,Khvicha Kvaratskhelia,€80m
SoccerPlayer,28,William Saliba,€80m
SoccerPlayer,29,Rúben Dias,€80m
SoccerPlayer,30,Bernardo Silva,€80m
SoccerPlayer,31,Lamine Yamal,€75m
SoccerPlayer,32,Luis Díaz,€75m
SoccerPlayer,33,Josko Gvardiol,€75m
SoccerPlayer,34,Dominik Szoboszlai,€75m
SoccerPlayer,35,Nicolò Barella,€75m
SoccerPlayer,36,Darwin Núñez,€70m
SoccerPlayer,37,Alexis Mac Allister,€70m
SoccerPlayer,38,Ronald Araujo,€70m
SoccerPlayer,39,Douglas Luiz,€70m
SoccerPlayer,40,Éder Militão,€70m
SoccerPlayer,41,Gabriel Jesus,€70m
SoccerPlayer,42,Alexander Isak,€70m
SoccerPlayer,43,Christopher Nkunku,€70m
SoccerPlayer,44,Frenkie de Jong,€70m
SoccerPlayer,45,Alessandro Bastoni,€70m
SoccerPlayer,46,Trent Alexander-Arnold,€70m
SoccerPlayer,47,James Maddison,€70m
SoccerPlayer,48,Bruno Fernandes,€70m
SoccerPlayer,49,Leroy Sané,€70m
SoccerPlayer,50,Rasmus Højlund,€65m
SoccerPlayer,51,Jérémy Doku,€65m
SoccerPlayer,52,Lucas Paquetá,€65m
SoccerPlayer,53,Gabriel Magalhães,€65m
SoccerPlayer,54,Achraf Hakimi,€65m
SoccerPlayer,55,Dušan Vlahović,€65m
SoccerPlayer,56,Matthijs de Ligt,€65m
SoccerPlayer,57,Ollie Watkins,€65m
SoccerPlayer,58,Kingsley Coman,€65m
SoccerPlayer,59,Jack Grealish,€65m
SoccerPlayer,60,Mohamed Salah,€65m
SoccerPlayer,61,Warren Zaïre-Emery,€60m
SoccerPlayer,62,Evan Ferguson,€60m
SoccerPlayer,63,Nuno Mendes,€60m
SoccerPlayer,64,Bremer,€60m
SoccerPlayer,65,Randal Kolo Muani,€60m
SoccerPlayer,66,Manuel Ugarte,€60m
SoccerPlayer,67,Alphonso Davies,€60m
SoccerPlayer,68,Takefusa Kubo,€60m
SoccerPlayer,69,Loïs Openda,€60m
SoccerPlayer,70,Cristian Romero,€60m
SoccerPlayer,71,Theo Hernández,€60m
SoccerPlayer,72,Marcus Thuram,€60m
SoccerPlayer,73,Kai Havertz,€60m
SoccerPlayer,74,Ousmane Dembélé,€60m
SoccerPlayer,75,Marcus Rashford,€60m
SoccerPlayer,76,Joshua Kimmich,€60m
SoccerPlayer,77,Kevin De Bruyne,€60m
SoccerPlayer,78,Endrick,€55m
SoccerPlayer,79,Cole Palmer,€55m
SoccerPlayer,80,Min-jae Kim,€55m
SoccerPlayer,81,Pedro Neto,€55m
SoccerPlayer,82,Dejan Kulusevski,€55m
SoccerPlayer,83,Moussa Diaby,€55m
SoccerPlayer,84,Ben White,€55m
SoccerPlayer,85,Viktor Gyökeres,€55m
SoccerPlayer,86,João Palhinha,€55m
SoccerPlayer,87,Marquinhos,€55m
SoccerPlayer,88,Nico Williams,€50m
SoccerPlayer,89,Levi Colwill,€50m
SoccerPlayer,90,Matheus Nunes,€50m
SoccerPlayer,91,Michael Olise,€50m
SoccerPlayer,92,Micky van de Ven,€50m
SoccerPlayer,93,Gonçalo Ramos,€50m
SoccerPlayer,94,Mohammed Kudus,€50m
SoccerPlayer,95,Jonathan David,€50m
SoccerPlayer,96,Anthony Gordon,€50m
SoccerPlayer,97,Amadou Onana,€50m
SoccerPlayer,98,Jeremie Frimpong,€50m
SoccerPlayer,99,Reece James,€50m
SoccerPlayer,100,Cody Gakpo,€50m
SoccerPlayer,101,Martín Zubimendi,€50m
SoccerPlayer,102,Jules Koundé,€50m
SoccerPlayer,103,Raphinha,€50m
SoccerPlayer,104,Benjamin Pavard,€50m
SoccerPlayer,105,Mikel Oyarzabal,€50m
SoccerPlayer,106,Dayot Upamecano,€50m
SoccerPlayer,107,Diogo Jota,€50m
SoccerPlayer,108,Mikel Merino,€50m
SoccerPlayer,109,Jarrod Bowen,€50m
SoccerPlayer,110,Dani Olmo,€50m
SoccerPlayer,111,Ivan Toney,€50m
SoccerPlayer,112,Federico Dimarco,€50m
SoccerPlayer,113,Heung-min Son,€50m
SoccerPlayer,114,Conor Gallagher,€48m
SoccerPlayer,115,Eberechi Eze,€48m
SoccerPlayer,116,Brennan Johnson,€48m
SoccerPlayer,117,João Neves,€45m
SoccerPlayer,118,António Silva,€45m
SoccerPlayer,119,João Pedro,€45m
SoccerPlayer,120,Giorgio Scalvini,€45m
SoccerPlayer,121,Destiny Udogie,€45m
SoccerPlayer,122,Pedro Porro,€45m
SoccerPlayer,123,Santiago Gimenez,€45m
SoccerPlayer,124,Kaoru Mitoma,€45m
SoccerPlayer,125,Vitinha,€45m
SoccerPlayer,126,Lisandro Martínez,€45m
SoccerPlayer,127,Pau Torres,€45m
SoccerPlayer,128,Sven Botman,€45m
SoccerPlayer,129,Diogo Costa,€45m
SoccerPlayer,130,Ibrahima Konaté,€45m
SoccerPlayer,131,Lucas Hernández,€45m
SoccerPlayer,132,Alejandro Grimaldo,€45m
SoccerPlayer,133,Serge Gnabry,€45m
SoccerPlayer,134,Raheem Sterling,€45m
SoccerPlayer,135,Neymar,€45m
SoccerPlayer,136,Matheus Cunha,€42m
