track,link_id,name,meta
SoccerPlayers,0,Jude Bellingham,€180m
SoccerPlayers,1,Erling Haaland,€180m
SoccerPlayers,2,Kylian Mbappé,€180m
SoccerPlayers,3,Vinicius Junior,€150m
SoccerPlayers,4,Bukayo Saka,€130m
SoccerPlayers,5,Phil Foden,€130m
SoccerPlayers,6,Florian Wirtz,€110m
SoccerPlayers,7,Jamal Musiala,€110m
SoccerPlayers,8,Lautaro Martínez,€110m
SoccerPlayers,9,Victor Osimhen,€110m
SoccerPlayers,10,Declan Rice,€110m
SoccerPlayers,11,Rodri,€110m
SoccerPlayers,12,Harry Kane,€110m
SoccerPlayers,13,Rodrygo,€100m
SoccerPlayers,14,Federico Valverde,€100m
SoccerPlayers,15,Martin Ødegaard,€95m
SoccerPlayers,16,Gavi,€90m
SoccerPlayers,17,Eduardo Camavinga,€90m
SoccerPlayers,18,Julián Álvarez,€90m
SoccerPlayers,19,Aurélien Tchouaméni,€90m
SoccerPlayers,20,Rafael Leão,€90m
SoccerPlayers,21,Bruno Guimarães,€85m
SoccerPlayers,22,Moisés Caicedo,€80m
SoccerPlayers,23,Pedri,€80m
SoccerPlayers,24,Gabriel Martinelli,€80m
SoccerPlayers,25,Enzo Fernández,€80m
SoccerPlayers,26,Xavi Simons,€80m
SoccerPlayers,27,Khvicha Kvaratskhelia,€80m
SoccerPlayers,28,William Saliba,€80m
SoccerPlayers,29,Rúben Dias,€80m
SoccerPlayers,30,Bernardo Silva,€80m
SoccerPlayers,31,Lamine Yamal,€75m
SoccerPlayers,32,Luis Díaz,€75m
SoccerPlayers,33,Josko Gvardiol,€75m
SoccerPlayers,34,Dominik Szoboszlai,€75m
SoccerPlayers,35,Nicolò Barella,€75m
SoccerPlayers,36,Darwin Núñez,€70m
SoccerPlayers,37,Alexis Mac Allister,€70m
SoccerPlayers,38,Ronald Araujo,€70m
SoccerPlayers,39,Douglas Luiz,€70m
SoccerPlayers,40,Éder Militão,€70m
SoccerPlayers,41,Gabriel Jesus,€70m
SoccerPlayers,42,Alexander Isak,€70m
SoccerPlayers,43,Christopher Nkunku,€70m
SoccerPlayers,44,Frenkie de Jong,€70m
SoccerPlayers,45,Alessandro Bastoni,€70m
SoccerPlayers,46,Trent Alexander-Arnold,€70m
SoccerPlayers,47,James Maddison,€70m
SoccerPlayers,48,Bruno Fernandes,€70m
SoccerPlayers,49,Leroy Sané,€70m
SoccerPlayers,50,Rasmus Højlund,€65m
SoccerPlayers,51,Jérémy Doku,€65m
SoccerPlayers,52,Lucas Paquetá,€65m
SoccerPlayers,53,Gabriel Magalhães,€65m
SoccerPlayers,54,Achraf Hakimi,€65m
SoccerPlayers,55,Dušan Vlahović,€65m
SoccerPlayers,56,Matthijs de Ligt,€65m
SoccerPlayers,57,Ollie Watkins,€65m
SoccerPlayers,58,Kingsley Coman,€65m
SoccerPlayers,59,Jack Grealish,€65m
SoccerPlayers,60,Mohamed Salah,€65m
SoccerPlayers,61,Warren Zaïre-Emery,€60m
SoccerPlayers,62,Evan Ferguson,€60m
SoccerPlayers,63,Nuno Mendes,€60m
SoccerPlayers,64,Bremer,€60m
SoccerPlayers,65,Randal Kolo Muani,€60m
SoccerPlayers,66,Manuel Ugarte,€60m
SoccerPlayers,67,Alphonso Davies,€60m
SoccerPlayers,68,Takefusa Kubo,€60m
SoccerPlayers,69,Loïs Openda,€60m
SoccerPlayers,70,Cristian Romero,€60m
SoccerPlayers,71,Theo Hernández,€60m
SoccerPlayers,72,Marcus Thuram,€60m
SoccerPlayers,73,Kai Havertz,€60m
SoccerPlayers,74,Ousmane Dembélé,€60m
SoccerPlayers,75,Marcus Rashford,€60m
SoccerPlayers,76,Joshua Kimmich,€60m
SoccerPlayers,77,Kevin De Bruyne,€60m
SoccerPlayers,78,Endrick,€55m
SoccerPlayers,79,Cole Palmer,€55m
SoccerPlayers,80,Min-jae Kim,€55m
SoccerPlayers,81,Pedro Neto,€55m
SoccerPlayers,82,Dejan Kulusevski,€55m
SoccerPlayers,83,Moussa Diaby,€55m
SoccerPlayers,84,Ben White,€55m
SoccerPlayers,85,Viktor Gyökeres,€55m
SoccerPlayers,86,João Palhinha,€55m
SoccerPlayers,87,Marquinhos,€55m
SoccerPlayers,88,Nico Williams,€50m
SoccerPlayers,89,Levi Colwill,€50m
SoccerPlayers,90,Matheus Nunes,€50m
SoccerPlayers,91,Michael Olise,€50m
SoccerPlayers,92,Micky van de Ven,€50m
SoccerPlayers,93,Gonçalo Ramos,€50m
SoccerPlayers,94,Mohammed Kudus,€50m
SoccerPlayers,95,Jonathan David,€50m
SoccerPlayers,96,Anthony Gordon,€50m
SoccerPlayers,97,Amadou Onana,€50m
SoccerPlayers,98,Jeremie Frimpong,€50m
SoccerPlayers,99,Reece James,€50m
SoccerPlayers,100,Cody Gakpo,€50m
SoccerPlayers,101,Martín Zubimendi,€50m
SoccerPlayers,102,Jules Koundé,€50m
SoccerPlayers,103,Raphinha,€50m
