track,link_id,name,meta
Stock,0,Microsoft Corporation (MSFT),$399
Stock,1,Apple Inc. (AAPL),$165
Stock,2,Alphabet Inc. (GOOG),$155
Stock,3,Alphabet Inc. (GOOGL),$154
Stock,4,NVIDIA Corporation (NVDA),$762
Stock,5,"Amazon.com, Inc. (AMZN)",$174
Stock,6,"Meta Platforms, Inc. (META)",$481
Stock,7,Berkshire Hathaway Inc. New (BRK-B),$405
Stock,8,Eli Lilly and Company (LLY),$726
Stock,9,Broadcom Inc. (AVGO),$1204
Stock,10,Visa Inc. (V),$269
Stock,11,JP Morgan Chase & Co. (JPM),$185
Stock,12,Walmart Inc. (WMT),$59
Stock,13,Exxon Mobil Corporation (XOM),$119
Stock,14,"Tesla, Inc. (TSLA)",$147
Stock,15,UnitedHealth Group Incorporated (UNH),$501
Stock,16,Mastercard Incorporated (MA),$455
Stock,17,Procter & Gamble Company (The) (PG),$158
Stock,18,Johnson & Johnson (JNJ),$147
Stock,19,"Home Depot, Inc. (The) (HD)",$335
Stock,20,"Merck & Company, Inc. (MRK)",$125
Stock,21,Oracle Corporation (ORCL),$114
Stock,22,Costco Wholesale Corporation (COST),$709
Stock,23,Chevron Corporation (CVX),$160
Stock,24,AbbVie Inc. (ABBV),$166
Stock,25,Bank of America Corporation (BAC),$36
Stock,26,"Salesforce, Inc. (CRM)",$270
Stock,27,Coca-Cola Company (The) (KO),$60
Stock,28,"Pepsico, Inc. (PEP)",$174
Stock,29,"Netflix, Inc. (NFLX)",$555
Stock,30,"Advanced Micro Devices, Inc. (AMD)",$146
Stock,31,Linde plc (LIN),$446
Stock,32,Wells Fargo & Company (WFC),$60
Stock,33,Adobe Inc. (ADBE),$465
Stock,34,Thermo Fisher Scientific Inc (TMO),$544
Stock,35,Walt Disney Company (The) (DIS),$112
Stock,36,Accenture plc (ACN),$316
Stock,37,McDonald's Corporation (MCD),$271
Stock,38,"Cisco Systems, Inc. (CSCO)",$48
Stock,39,"T-Mobile US, Inc. (TMUS)",$162
Stock,40,Abbott Laboratories (ABT),$107
Stock,41,"Caterpillar, Inc. (CAT)",$354
Stock,42,QUALCOMM Incorporated (QCOM),$157
Stock,43,Danaher Corporation (DHR),$235
Stock,44,Verizon Communications Inc. (VZ),$40
Stock,45,Intuit Inc. (INTU),$605
Stock,46,International Business Machines (IBM),$181
Stock,47,American Express Company (AXP),$231
Stock,48,GE Aerospace (GE),$148
Stock,49,Comcast Corporation (CMCSA),$40
Stock,50,"Applied Materials, Inc. (AMAT)",$189
Stock,51,ConocoPhillips (COP),$129
Stock,52,Morgan Stanley (MS),$90
Stock,53,"Pfizer, Inc. (PFE)",$26
Stock,54,"ServiceNow, Inc. (NOW)",$713
Stock,55,Philip Morris International Inc (PM),$93
Stock,56,Intel Corporation (INTC),$34
Stock,57,Texas Instruments Incorporated (TXN),$159
Stock,58,Amgen Inc. (AMGN),$268
Stock,59,Blackstone Inc. (BX),$118
Stock,60,"Uber Technologies, Inc. (UBER)",$69
Stock,61,"Nike, Inc. (NKE)",$94
Stock,62,Union Pacific Corporation (UNP),$232
Stock,63,RTX Corporation (RTX),$101
Stock,64,Charles Schwab Corporation (The (SCHW),$73
Stock,65,S&P Global Inc. (SPGI),$412
Stock,66,"NextEra Energy, Inc. (NEE)",$64
Stock,67,"Lowe's Companies, Inc. (LOW)",$230
Stock,68,"Goldman Sachs Group, Inc. (The) (GS)",$404
Stock,69,"Intuitive Surgical, Inc. (ISRG)",$366
Stock,70,Honeywell International Inc. (HON),$194
Stock,71,Progressive Corporation (The) (PGR),$214
Stock,72,Stryker Corporation (SYK),$325
Stock,73,"Elevance Health, Inc. (ELV)",$531
Stock,74,"United Parcel Service, Inc. (UPS)",$142
Stock,75,"Eaton Corporation, PLC (ETN)",$303
Stock,76,AT&T Inc. (T),$16
Stock,77,"Micron Technology, Inc. (MU)",$106
Stock,78,Booking Holdings Inc. Common St (BKNG),$3414
Stock,79,Lam Research Corporation (LRCX),$870
Stock,80,"Citigroup, Inc. (C)",$59
Stock,81,"BlackRock, Inc. (BLK)",$749
Stock,82,Lockheed Martin Corporation (LMT),$463
Stock,83,Deere & Company (DE),$400
Stock,84,"TJX Companies, Inc. (The) (TJX)",$93
Stock,85,Medtronic plc. (MDT),$79
Stock,86,Boeing Company (The) (BA),$169
Stock,87,Vertex Pharmaceuticals Incorpor (VRTX),$394
Stock,88,Chubb Limited (CB),$250
Stock,89,The Cigna Group (CI),$352
Stock,90,"Automatic Data Processing, Inc. (ADP)",$243
Stock,91,"Marsh & McLennan Companies, Inc (MMC)",$202
Stock,92,Starbucks Corporation (SBUX),$87
Stock,93,Bristol-Myers Squibb Company (BMY),$48
Stock,94,Boston Scientific Corporation (BSX),$67
Stock,95,"Airbnb, Inc. (ABNB)",$155
Stock,96,"Regeneron Pharmaceuticals, Inc. (REGN)",$896
Stock,97,"Prologis, Inc. (PLD)",$103
Stock,98,"Mondelez International, Inc. (MDLZ)",$68
Stock,99,"Analog Devices, Inc. (ADI)",$183
Stock,100,"Palo Alto Networks, Inc. (PANW)",$277
Stock,101,CVS Health Corporation (CVS),$69
Stock,102,"Fiserv, Inc. (FI)",$148
Stock,103,KLA Corporation (KLAC),$628
Stock,104,"Gilead Sciences, Inc. (GILD)",$66
Stock,105,"Waste Management, Inc. (WM)",$207
Stock,106,"HCA Healthcare, Inc. (HCA)",$305
Stock,107,American Tower Corporation (REI (AMT),$171
Stock,108,General Dynamics Corporation (GD),$288
Stock,109,Southern Company (The) (SO),$72
Stock,110,"Chipotle Mexican Grill, Inc. (CMG)",$2869
Stock,111,"Synopsys, Inc. (SNPS)",$510
Stock,112,Sherwin-Williams Company (The) (SHW),$305
Stock,113,Target Corporation (TGT),$168
Stock,114,"Arista Networks, Inc. (ANET)",$246
Stock,115,CME Group Inc. (CME),$213
Stock,116,"EOG Resources, Inc. (EOG)",$133
Stock,117,"Cadence Design Systems, Inc. (CDNS)",$280
Stock,118,Duke Energy Corporation (Holdin (DUK),$98
Stock,119,Intercontinental Exchange Inc. (ICE),$131
Stock,120,Illinois Tool Works Inc. (ITW),$250
Stock,121,"Altria Group, Inc. (MO)",$42
Stock,122,Colgate-Palmolive Company (CL),$87
Stock,123,Schlumberger N.V. (SLB),$49
Stock,124,"Freeport-McMoRan, Inc. (FCX)",$49
Stock,125,"Equinix, Inc. (EQIX)",$748
Stock,126,Marathon Petroleum Corporation (MPC),$196
Stock,127,McKesson Corporation (MCK),$524
Stock,128,Parker-Hannifin Corporation (PH),$534
Stock,129,Northrop Grumman Corporation (NOC),$462
Stock,130,Moody's Corporation (MCO),$374
Stock,131,Marriott International (MAR),$236
Stock,132,"Becton, Dickinson and Company (BDX)",$234
Stock,133,CSX Corporation (CSX),$34
Stock,134,Cintas Corporation (CTAS),$661
Stock,135,Zoetis Inc. (ZTS),$146
Stock,136,Amphenol Corporation (APH),$110
Stock,137,Transdigm Group Incorporated (TDG),$1187
Stock,138,Phillips 66 (PSX),$154
Stock,139,FedEx Corporation (FDX),$266
Stock,140,"PayPal Holdings, Inc. (PYPL)",$62
Stock,141,Trane Technologies plc (TT),$288
Stock,142,"O'Reilly Automotive, Inc. (ORLY)",$1090
Stock,143,Pioneer Natural Resources Compa (PXD),$270
Stock,144,U.S. Bancorp (USB),$40
Stock,145,Ecolab Inc. (ECL),$218
Stock,146,Emerson Electric Company (EMR),$108
Stock,147,Aon plc (AON),$310
Stock,148,"PNC Financial Services Group, I (PNC)",$152
Stock,149,"Republic Services, Inc. (RSG)",$189
Stock,150,Occidental Petroleum Corporatio (OXY),$66
Stock,151,PACCAR Inc. (PCAR),$111
Stock,152,"Roper Technologies, Inc. (ROP)",$534
Stock,153,Constellation Energy Corporatio (CEG),$180
Stock,154,"Motorola Solutions, Inc. (MSI)",$339
Stock,155,Monster Beverage Corporation (MNST),$53
Stock,156,NXP Semiconductors N.V. (NXPI),$215
Stock,157,Norfolk Southern Corporation (NSC),$241
Stock,158,Capital One Financial Corporati (COF),$142
Stock,159,Valero Energy Corporation (VLO),$163
Stock,160,Welltower Inc. (WELL),$91
Stock,161,"Simon Property Group, Inc. (SPG)",$140
Stock,162,"Estee Lauder Companies, Inc. (T (EL)",$144
Stock,163,Edwards Lifesciences Corporatio (EW),$85
Stock,164,"AutoZone, Inc. (AZO)",$2985
Stock,165,Arthur J. Gallagher & Co. (AJG),$236
Stock,166,"Air Products and Chemicals, Inc (APD)",$231
Stock,167,"MetLife, Inc. (MET)",$71
Stock,168,3M Company (MMM),$92
Stock,169,"Copart, Inc. (CPRT)",$52
Stock,170,"DexCom, Inc. (DXCM)",$130
Stock,171,"American International Group, I (AIG)",$74
Stock,172,Truist Financial Corporation (TFC),$36
Stock,173,"The Travelers Companies, Inc. (TRV)",$214
Stock,174,General Motors Company (GM),$42
Stock,175,Hilton Worldwide Holdings Inc. (HLT),$194
Stock,176,"Fortinet, Inc. (FTNT)",$63
Stock,177,Ford Motor Company (F),$12
Stock,178,Carrier Global Corporation (CARR),$53
Stock,179,AFLAC Incorporated (AFL),$83
Stock,180,"Constellation Brands, Inc. (STZ)",$260
Stock,181,"Cencora, Inc. (COR)",$239
Stock,182,Hess Corporation (HES),$154
Stock,183,"D.R. Horton, Inc. (DHI)",$142
Stock,184,"Williams Companies, Inc. (The) (WMB)",$38
Stock,185,"ONEOK, Inc. (OKE)",$79
Stock,186,"W.W. Grainger, Inc. (GWW)",$942
Stock,187,"Autodesk, Inc. (ADSK)",$216
Stock,188,"Old Dominion Freight Line, Inc. (ODFL)",$211
Stock,189,The Kraft Heinz Company (KHC),$37
Stock,190,Nucor Corporation (NUE),$191
Stock,191,Public Storage (PSA),$260
Stock,192,Realty Income Corporation (O),$53
Stock,193,Allstate Corporation (The) (ALL),$172
Stock,194,Newmont Corporation (NEM),$39
Stock,195,"Ross Stores, Inc. (ROST)",$133
Stock,196,lululemon athletica inc. (LULU),$352
Stock,197,American Electric Power Company (AEP),$84
Stock,198,DBA Sempra (SRE),$70
Stock,199,Microchip Technology Incorporat (MCHP),$81
Stock,200,Pacific Gas & Electric Co. (PCG),$16
Stock,201,"Digital Realty Trust, Inc. (DLR)",$136
Stock,202,TE Connectivity Ltd. New Switze (TEL),$140
Stock,203,Johnson Controls International  (JCI),$63
Stock,204,"Paychex, Inc. (PAYX)",$119
Stock,205,Kimberly-Clark Corporation (KMB),$126
Stock,206,Keurig Dr Pepper Inc. (KDP),$31
Stock,207,"United Rentals, Inc. (URI)",$628
Stock,208,The Bank of New York Mellon Cor (BK),$56
Stock,209,"Kinder Morgan, Inc. (KMI)",$18
Stock,210,"Super Micro Computer, Inc. (SMCI)",$713
Stock,211,"Ameriprise Financial, Inc. (AMP)",$417
Stock,212,"Dominion Energy, Inc. (D)",$49
Stock,213,"IQVIA Holdings, Inc. (IQV)",$228
Stock,214,Crown Castle Inc. (CCI),$95
Stock,215,Lennar Corporation (LEN),$150
Stock,216,"AMETEK, Inc. (AME)",$177
Stock,217,Kroger Company (The) (KR),$56
Stock,218,Fidelity National Information S (FIS),$70
Stock,219,MSCI Inc. (MSCI),$510
Stock,220,Centene Corporation (CNC),$75
Stock,221,Dow Inc. (DOW),$56
Stock,222,"General Mills, Inc. (GIS)",$70
