track,link_id,name,meta
Stocks,0,Microsoft Corporation (MSFT),$399
Stocks,1,Apple Inc. (AAPL),$165
Stocks,2,Alphabet Inc. (GOOG),$155
Stocks,3,Alphabet Inc. (GOOGL),$154
Stocks,4,NVIDIA Corporation (NVDA),$762
Stocks,5,"Amazon.com, Inc. (AMZN)",$174
Stocks,6,"Meta Platforms, Inc. (META)",$481
Stocks,7,Berkshire Hathaway Inc. New (BRK-B),$405
Stocks,8,Eli Lilly and Company (LLY),$726
Stocks,9,Broadcom Inc. (AVGO),$1204
Stocks,10,Visa Inc. (V),$269
Stocks,11,JP Morgan Chase & Co. (JPM),$185
Stocks,12,Walmart Inc. (WMT),$59
Stocks,13,Exxon Mobil Corporation (XOM),$119
Stocks,14,"Tesla, Inc. (TSLA)",$147
Stocks,15,UnitedHealth Group Incorporated (UNH),$501
Stocks,16,Mastercard Incorporated (MA),$455
Stocks,17,Procter & Gamble Company (The) (PG),$158
Stocks,18,Johnson & Johnson (JNJ),$147
Stocks,19,"Home Depot, Inc. (The) (HD)",$335
Stocks,20,"Merck & Company, Inc. (MRK)",$125
Stocks,21,Oracle Corporation (ORCL),$114
Stocks,22,Costco Wholesale Corporation (COST),$709
Stocks,23,Chevron Corporation (CVX),$160
Stocks,24,AbbVie Inc. (ABBV),$166
Stocks,25,Bank of America Corporation (BAC),$36
Stocks,26,"Salesforce, Inc. (CRM)",$270
Stocks,27,Coca-Cola Company (The) (KO),$60
Stocks,28,"Pepsico, Inc. (PEP)",$174
Stocks,29,"Netflix, Inc. (NFLX)",$555
Stocks,30,"Advanced Micro Devices, Inc. (AMD)",$146
Stocks,31,Linde plc (LIN),$446
Stocks,32,Wells Fargo & Company (WFC),$60
Stocks,33,Adobe Inc. (ADBE),$465
Stocks,34,Thermo Fisher Scientific Inc (TMO),$544
Stocks,35,Walt Disney Company (The) (DIS),$112
Stocks,36,Accenture plc (ACN),$316
Stocks,37,McDonald's Corporation (MCD),$271
Stocks,38,"Cisco Systems, Inc. (CSCO)",$48
Stocks,39,"T-Mobile US, Inc. (TMUS)",$162
Stocks,40,Abbott Laboratories (ABT),$107
Stocks,41,"Caterpillar, Inc. (CAT)",$354
Stocks,42,QUALCOMM Incorporated (QCOM),$157
Stocks,43,Danaher Corporation (DHR),$235
Stocks,44,Verizon Communications Inc. (VZ),$40
Stocks,45,Intuit Inc. (INTU),$605
Stocks,46,International Business Machines (IBM),$181
Stocks,47,American Express Company (AXP),$231
Stocks,48,GE Aerospace (GE),$148
Stocks,49,Comcast Corporation (CMCSA),$40
Stocks,50,"Applied Materials, Inc. (AMAT)",$189
Stocks,51,ConocoPhillips (COP),$129
Stocks,52,Morgan Stanley (MS),$90
Stocks,53,"Pfizer, Inc. (PFE)",$26
Stocks,54,"ServiceNow, Inc. (NOW)",$713
Stocks,55,Philip Morris International Inc (PM),$93
Stocks,56,Intel Corporation (INTC),$34
Stocks,57,Texas Instruments Incorporated (TXN),$159
Stocks,58,Amgen Inc. (AMGN),$268
Stocks,59,Blackstone Inc. (BX),$118
Stocks,60,"Uber Technologies, Inc. (UBER)",$69
Stocks,61,"Nike, Inc. (NKE)",$94
Stocks,62,Union Pacific Corporation (UNP),$232
Stocks,63,RTX Corporation (RTX),$101
Stocks,64,Charles Schwab Corporation (The (SCHW),$73
Stocks,65,S&P Global Inc. (SPGI),$412
Stocks,66,"NextEra Energy, Inc. (NEE)",$64
Stocks,67,"Lowe's Companies, Inc. (LOW)",$230
Stocks,68,"Goldman Sachs Group, Inc. (The) (GS)",$404
Stocks,69,"Intuitive Surgical, Inc. (ISRG)",$366
Stocks,70,Honeywell International Inc. (HON),$194
Stocks,71,Progressive Corporation (The) (PGR),$214
Stocks,72,Stryker Corporation (SYK),$325
Stocks,73,"Elevance Health, Inc. (ELV)",$531
Stocks,74,"United Parcel Service, Inc. (UPS)",$142
Stocks,75,"Eaton Corporation, PLC (ETN)",$303
Stocks,76,AT&T Inc. (T),$16
Stocks,77,"Micron Technology, Inc. (MU)",$106
Stocks,78,Booking Holdings Inc. Common St (BKNG),$3414
Stocks,79,Lam Research Corporation (LRCX),$870
Stocks,80,"Citigroup, Inc. (C)",$59
Stocks,81,"BlackRock, Inc. (BLK)",$749
Stocks,82,Lockheed Martin Corporation (LMT),$463
Stocks,83,Deere & Company (DE),$400
Stocks,84,"TJX Companies, Inc. (The) (TJX)",$93
Stocks,85,Medtronic plc. (MDT),$79
Stocks,86,Boeing Company (The) (BA),$169
Stocks,87,Vertex Pharmaceuticals Incorpor (VRTX),$394
Stocks,88,Chubb Limited (CB),$250
Stocks,89,The Cigna Group (CI),$352
Stocks,90,"Automatic Data Processing, Inc. (ADP)",$243
Stocks,91,"Marsh & McLennan Companies, Inc (MMC)",$202
Stocks,92,Starbucks Corporation (SBUX),$87
Stocks,93,Bristol-Myers Squibb Company (BMY),$48
Stocks,94,Boston Scientific Corporation (BSX),$67
Stocks,95,"Airbnb, Inc. (ABNB)",$155
Stocks,96,"Regeneron Pharmaceuticals, Inc. (REGN)",$896
Stocks,97,"Prologis, Inc. (PLD)",$103
Stocks,98,"Mondelez International, Inc. (MDLZ)",$68
Stocks,99,"Analog Devices, Inc. (ADI)",$183
Stocks,100,"Palo Alto Networks, Inc. (PANW)",$277
Stocks,101,CVS Health Corporation (CVS),$69
Stocks,102,"Fiserv, Inc. (FI)",$148
Stocks,103,KLA Corporation (KLAC),$628
Stocks,104,"Gilead Sciences, Inc. (GILD)",$66
Stocks,105,"Waste Management, Inc. (WM)",$207
Stocks,106,"HCA Healthcare, Inc. (HCA)",$305
Stocks,107,American Tower Corporation (REI (AMT),$171
Stocks,108,General Dynamics Corporation (GD),$288
Stocks,109,Southern Company (The) (SO),$72
Stocks,110,"Chipotle Mexican Grill, Inc. (CMG)",$2869
Stocks,111,"Synopsys, Inc. (SNPS)",$510
Stocks,112,Sherwin-Williams Company (The) (SHW),$305
Stocks,113,Target Corporation (TGT),$168
Stocks,114,"Arista Networks, Inc. (ANET)",$246
Stocks,115,CME Group Inc. (CME),$213
Stocks,116,"EOG Resources, Inc. (EOG)",$133
Stocks,117,"Cadence Design Systems, Inc. (CDNS)",$280
Stocks,118,Duke Energy Corporation (Holdin (DUK),$98
Stocks,119,Intercontinental Exchange Inc. (ICE),$131
Stocks,120,Illinois Tool Works Inc. (ITW),$250
Stocks,121,"Altria Group, Inc. (MO)",$42
Stocks,122,Colgate-Palmolive Company (CL),$87
Stocks,123,Schlumberger N.V. (SLB),$49
Stocks,124,"Freeport-McMoRan, Inc. (FCX)",$49
Stocks,125,"Equinix, Inc. (EQIX)",$748
Stocks,126,Marathon Petroleum Corporation (MPC),$196
Stocks,127,McKesson Corporation (MCK),$524
Stocks,128,Parker-Hannifin Corporation (PH),$534
Stocks,129,Northrop Grumman Corporation (NOC),$462
Stocks,130,Moody's Corporation (MCO),$374
Stocks,131,Marriott International (MAR),$236
Stocks,132,"Becton, Dickinson and Company (BDX)",$234
Stocks,133,CSX Corporation (CSX),$34
Stocks,134,Cintas Corporation (CTAS),$661
Stocks,135,Zoetis Inc. (ZTS),$146
Stocks,136,Amphenol Corporation (APH),$110
Stocks,137,Transdigm Group Incorporated (TDG),$1187
Stocks,138,Phillips 66 (PSX),$154
Stocks,139,FedEx Corporation (FDX),$266
Stocks,140,"PayPal Holdings, Inc. (PYPL)",$62
Stocks,141,Trane Technologies plc (TT),$288
Stocks,142,"O'Reilly Automotive, Inc. (ORLY)",$1090
Stocks,143,Pioneer Natural Resources Compa (PXD),$270
Stocks,144,U.S. Bancorp (USB),$40
Stocks,145,Ecolab Inc. (ECL),$218
Stocks,146,Emerson Electric Company (EMR),$108
Stocks,147,Aon plc (AON),$310
Stocks,148,"PNC Financial Services Group, I (PNC)",$152
Stocks,149,"Republic Services, Inc. (RSG)",$189
Stocks,150,Occidental Petroleum Corporatio (OXY),$66
Stocks,151,PACCAR Inc. (PCAR),$111
Stocks,152,"Roper Technologies, Inc. (ROP)",$534
Stocks,153,Constellation Energy Corporatio (CEG),$180
Stocks,154,"Motorola Solutions, Inc. (MSI)",$339
Stocks,155,Monster Beverage Corporation (MNST),$53
Stocks,156,NXP Semiconductors N.V. (NXPI),$215
Stocks,157,Norfolk Southern Corporation (NSC),$241
Stocks,158,Capital One Financial Corporati (COF),$142
Stocks,159,Valero Energy Corporation (VLO),$163
Stocks,160,Welltower Inc. (WELL),$91
Stocks,161,"Simon Property Group, Inc. (SPG)",$140
Stocks,162,"Estee Lauder Companies, Inc. (T (EL)",$144
Stocks,163,Edwards Lifesciences Corporatio (EW),$85
Stocks,164,"AutoZone, Inc. (AZO)",$2985
Stocks,165,Arthur J. Gallagher & Co. (AJG),$236
Stocks,166,"Air Products and Chemicals, Inc (APD)",$231
Stocks,167,"MetLife, Inc. (MET)",$71
Stocks,168,3M Company (MMM),$92
Stocks,169,"Copart, Inc. (CPRT)",$52
Stocks,170,"DexCom, Inc. (DXCM)",$130
Stocks,171,"American International Group, I (AIG)",$74
Stocks,172,Truist Financial Corporation (TFC),$36
Stocks,173,"The Travelers Companies, Inc. (TRV)",$214
Stocks,174,General Motors Company (GM),$42
Stocks,175,Hilton Worldwide Holdings Inc. (HLT),$194
Stocks,176,"Fortinet, Inc. (FTNT)",$63
Stocks,177,Ford Motor Company (F),$12
Stocks,178,Carrier Global Corporation (CARR),$53
Stocks,179,AFLAC Incorporated (AFL),$83
Stocks,180,"Constellation Brands, Inc. (STZ)",$260
Stocks,181,"Cencora, Inc. (COR)",$239
Stocks,182,Hess Corporation (HES),$154
Stocks,183,"D.R. Horton, Inc. (DHI)",$142
Stocks,184,"Williams Companies, Inc. (The) (WMB)",$38
Stocks,185,"ONEOK, Inc. (OKE)",$79
Stocks,186,"W.W. Grainger, Inc. (GWW)",$942
Stocks,187,"Autodesk, Inc. (ADSK)",$216
Stocks,188,"Old Dominion Freight Line, Inc. (ODFL)",$211
Stocks,189,The Kraft Heinz Company (KHC),$37
Stocks,190,Nucor Corporation (NUE),$191
Stocks,191,Public Storage (PSA),$260
Stocks,192,Realty Income Corporation (O),$53
Stocks,193,Allstate Corporation (The) (ALL),$172
Stocks,194,Newmont Corporation (NEM),$39
Stocks,195,"Ross Stores, Inc. (ROST)",$133
Stocks,196,lululemon athletica inc. (LULU),$352
Stocks,197,American Electric Power Company (AEP),$84
Stocks,198,DBA Sempra (SRE),$70
Stocks,199,Microchip Technology Incorporat (MCHP),$81
Stocks,200,Pacific Gas & Electric Co. (PCG),$16
Stocks,201,"Digital Realty Trust, Inc. (DLR)",$136
Stocks,202,TE Connectivity Ltd. New Switze (TEL),$140
Stocks,203,Johnson Controls International  (JCI),$63
Stocks,204,"Paychex, Inc. (PAYX)",$119
Stocks,205,Kimberly-Clark Corporation (KMB),$126
Stocks,206,Keurig Dr Pepper Inc. (KDP),$31
Stocks,207,"United Rentals, Inc. (URI)",$628
Stocks,208,The Bank of New York Mellon Cor (BK),$56
Stocks,209,"Kinder Morgan, Inc. (KMI)",$18
Stocks,210,"Super Micro Computer, Inc. (SMCI)",$713
Stocks,211,"Ameriprise Financial, Inc. (AMP)",$417
Stocks,212,"Dominion Energy, Inc. (D)",$49
Stocks,213,"IQVIA Holdings, Inc. (IQV)",$228
Stocks,214,Crown Castle Inc. (CCI),$95
Stocks,215,Lennar Corporation (LEN),$150
Stocks,216,"AMETEK, Inc. (AME)",$177
Stocks,217,Kroger Company (The) (KR),$56
Stocks,218,Fidelity National Information S (FIS),$70
Stocks,219,MSCI Inc. (MSCI),$510
Stocks,220,Centene Corporation (CNC),$75
Stocks,221,Dow Inc. (DOW),$56
Stocks,222,"General Mills, Inc. (GIS)",$70
Stocks,223,"Prudential Financial, Inc. (PRU)",$110
Stocks,224,Humana Inc. (HUM),$328
