Name,Value
Jude Bellingham,€180.00m
Erling Haaland,€180.00m
Kylian Mbappé,€180.00m
Vinicius Junior,€150.00m
Bukayo Saka,€130.00m
Phil Foden,€130.00m
Florian Wirtz,€110.00m
Jamal Musiala,€110.00m
Lautaro Martínez,€110.00m
Victor Osimhen,€110.00m
Declan Rice,€110.00m
Rodri,€110.00m
Harry Kane,€110.00m
Rodrygo,€100.00m
Federico Valverde,€100.00m
Martin Ødegaard,€95.00m
Gavi,€90.00m
Eduardo Camavinga,€90.00m
Julián Álvarez,€90.00m
Aurélien Tchouaméni,€90.00m
Rafael Leão,€90.00m
Bruno Guimarães,€85.00m
Moisés Caicedo,€80.00m
Pedri,€80.00m
Gabriel Martinelli,€80.00m
Enzo Fernández,€80.00m
Xavi Simons,€80.00m
Khvicha Kvaratskhelia,€80.00m
William Saliba,€80.00m
Rúben Dias,€80.00m
Bernardo Silva,€80.00m
Lamine Yamal,€75.00m
Luis Díaz,€75.00m
Josko Gvardiol,€75.00m
Dominik Szoboszlai,€75.00m
Nicolò Barella,€75.00m
Darwin Núñez,€70.00m
Alexis Mac Allister,€70.00m
Ronald Araujo,€70.00m
Douglas Luiz,€70.00m
Éder Militão,€70.00m
Gabriel Jesus,€70.00m
Alexander Isak,€70.00m
Christopher Nkunku,€70.00m
Frenkie de Jong,€70.00m
Alessandro Bastoni,€70.00m
Trent Alexander-Arnold,€70.00m
James Maddison,€70.00m
Bruno Fernandes,€70.00m
Leroy Sané,€70.00m
Rasmus Højlund,€65.00m
Jérémy Doku,€65.00m
Lucas Paquetá,€65.00m
Gabriel Magalhães,€65.00m
Achraf Hakimi,€65.00m
Dušan Vlahović,€65.00m
Matthijs de Ligt,€65.00m
Ollie Watkins,€65.00m
Kingsley Coman,€65.00m
Jack Grealish,€65.00m
Mohamed Salah,€65.00m
Warren Zaïre-Emery,€60.00m
Evan Ferguson,€60.00m
Nuno Mendes,€60.00m
Bremer,€60.00m
Randal Kolo Muani,€60.00m
Manuel Ugarte,€60.00m
Alphonso Davies,€60.00m
Takefusa Kubo,€60.00m
Loïs Openda,€60.00m
Cristian Romero,€60.00m
Theo Hernández,€60.00m
Marcus Thuram,€60.00m
Kai Havertz,€60.00m
Ousmane Dembélé,€60.00m
Marcus Rashford,€60.00m
Joshua Kimmich,€60.00m
Kevin De Bruyne,€60.00m
Endrick,€55.00m
Cole Palmer,€55.00m
Min-jae Kim,€55.00m
Pedro Neto,€55.00m
Dejan Kulusevski,€55.00m
Moussa Diaby,€55.00m
Ben White,€55.00m
Viktor Gyökeres,€55.00m
João Palhinha,€55.00m
Marquinhos,€55.00m
Nico Williams,€50.00m
Levi Colwill,€50.00m
Matheus Nunes,€50.00m
Michael Olise,€50.00m
Micky van de Ven,€50.00m
Gonçalo Ramos,€50.00m
Mohammed Kudus,€50.00m
Jonathan David,€50.00m
Anthony Gordon,€50.00m
Amadou Onana,€50.00m
Jeremie Frimpong,€50.00m
Reece James,€50.00m
Cody Gakpo,€50.00m
Martín Zubimendi,€50.00m
Jules Koundé,€50.00m
Raphinha,€50.00m
Benjamin Pavard,€50.00m
Mikel Oyarzabal,€50.00m
Dayot Upamecano,€50.00m
Diogo Jota,€50.00m
Mikel Merino,€50.00m
Jarrod Bowen,€50.00m
Dani Olmo,€50.00m
Ivan Toney,€50.00m
Federico Dimarco,€50.00m
Heung-min Son,€50.00m
Conor Gallagher,€48.00m
Eberechi Eze,€48.00m
Brennan Johnson,€48.00m
João Neves,€45.00m
António Silva,€45.00m
João Pedro,€45.00m
Giorgio Scalvini,€45.00m
Destiny Udogie,€45.00m
Pedro Porro,€45.00m
Santiago Gimenez,€45.00m
Kaoru Mitoma,€45.00m
Vitinha,€45.00m
Lisandro Martínez,€45.00m
Pau Torres,€45.00m
Sven Botman,€45.00m
Diogo Costa,€45.00m
Ibrahima Konaté,€45.00m
Lucas Hernández,€45.00m
Alejandro Grimaldo,€45.00m
Serge Gnabry,€45.00m
Raheem Sterling,€45.00m
Neymar,€45.00m
Matheus Cunha,€42.00m
Jacob Ramsey,€42.00m
Axel Disasi,€42.00m
Joelinton,€42.00m
Manuel Akanji,€42.00m
Oleksandr Zinchenko,€42.00m
Samu Omorodion,€40.00m
Ousmane Diomande,€40.00m
Vitor Roque,€40.00m
Leny Yoro,€40.00m
Alejandro Garnacho,€40.00m
Mathys Tel,€40.00m
Sávio,€40.00m
Bradley Barcola,€40.00m
Victor Boniface,€40.00m
Alejandro Balde,€40.00m
Roméo Lavia,€40.00m
Benjamin Sesko,€40.00m
Castello Lukeba,€40.00m
Pape Matar Sarr,€40.00m
Johan Bakayoko,€40.00m
Edmond Tapsoba,€40.00m
Gonçalo Inácio,€40.00m
Nicolás González,€40.00m
Joshua Zirkzee,€40.00m
Morgan Gibbs-White,€40.00m
Jurrien Timber,€40.00m
Exequiel Palacios,€40.00m
Sandro Tonali,€40.00m
Richarlison,€40.00m
Teun Koopmeiners,€40.00m
Robin Le Normand,€40.00m
Mason Mount,€40.00m
Federico Chiesa,€40.00m
Donyell Malen,€40.00m
Gianluigi Donnarumma,€40.00m
Brais Méndez,€40.00m
Fikayo Tomori,€40.00m
Serhou Guirassy,€40.00m
Gregor Kobel,€40.00m
Ederson,€40.00m
André Onana,€40.00m
Rúben Neves,€40.00m
Milan Skriniar,€40.00m
Andreas Christensen,€40.00m
Julian Brandt,€40.00m
Adrien Rabiot,€40.00m
Mike Maignan,€40.00m
Nathan Aké,€40.00m
Hakan Çalhanoğlu,€40.00m
Rico Lewis,€38.00m
Bryan Mbeumo,€38.00m
Boubacar Kamara,€38.00m
Marc Guéhi,€38.00m
Nayef Aguerd,€38.00m
John Stones,€38.00m
Leandro Trossard,€38.00m
Kobbie Mainoo,€35.00m
Nicolas Jackson,€35.00m
Mohamed Simakan,€35.00m
Piero Hincapié,€35.00m
Elye Wahi,€35.00m
Odilon Kossounou,€35.00m
Jean-Clair Todibo,€35.00m
Oihan Sancet,€35.00m
Harvey Elliott,€35.00m
Cheick Doucouré,€35.00m
Mykhaylo Mudryk,€35.00m
Max Kilman,€35.00m
Tino Livramento,€35.00m
Giorgi Mamardashvili,€35.00m
Ryan Gravenberch,€35.00m
Khéphren Thuram,€35.00m
Curtis Jones,€35.00m
Nahuel Molina,€35.00m
Ezri Konsa,€35.00m
Yves Bissouma,€35.00m
Dávid Hancko,€35.00m
Edson Álvarez,€35.00m
Ferran Torres,€35.00m
